"symbol","exchange","sector","industry"
"360ONE","NSE","Financial Services","Financial Services"
"3MINDIA","NSE","Diversified","Diversified"
"ABB","NSE","Capital Goods","Capital Goods"
"ACC","NSE","Construction Materials","Construction Materials"
"ACMESOLAR","NSE","Power","Power"
"AIAENG","NSE","Capital Goods","Capital Goods"
"APLAPOLLO","NSE","Capital Goods","Capital Goods"
"AUBANK","NSE","Financial Services","Financial Services"
"AWL","NSE","Fast Moving Consumer Goods","Fast Moving Consumer Goods"
"AADHARHFC","NSE","Financial Services","Financial Services"
"AARTIIND","NSE","Chemicals","Chemicals"
"AAVAS","NSE","Financial Services","Financial Services"
"ABBOTINDIA","NSE","Healthcare","Healthcare"
"ACE","NSE","Capital Goods","Capital Goods"
"ACUTAAS","NSE","Healthcare","Healthcare"
"ADANIENSOL","NSE","Power","Power"
"ADANIENT","NSE","Metals & Mining","Metals & Mining"
"ADANIGREEN","NSE","Power","Power"
"ADANIPORTS","NSE","Services","Services"
"ADANIPOWER","NSE","Power","Power"
"ATGL","NSE","Oil Gas & Consumable Fuels","Oil Gas & Consumable Fuels"
"ABCAPITAL","NSE","Financial Services","Financial Services"
"ABFRL","NSE","Consumer Services","Consumer Services"
"ABLBL","NSE","Consumer Services","Consumer Services"
"ABREL","NSE","Realty","Realty"
"ABSLAMC","NSE","Financial Services","Financial Services"
"CPPLUS","NSE","Capital Goods","Capital Goods"
"AEGISLOG","NSE","Oil Gas & Consumable Fuels","Oil Gas & Consumable Fuels"
"AEGISVOPAK","NSE","Oil Gas & Consumable Fuels","Oil Gas & Consumable Fuels"
"AFCONS","NSE","Construction","Construction"
"AFFLE","NSE","Information Technology","Information Technology"
"AJANTPHARM","NSE","Healthcare","Healthcare"
"AKZOINDIA","NSE","Consumer Durables","Consumer Durables"
"ALKEM","NSE","Healthcare","Healthcare"
"ABDL","NSE","Fast Moving Consumer Goods","Fast Moving Consumer Goods"
"ARE&M","NSE","Automobile and Auto Components","Automobile and Auto Components"
"AMBER","NSE","Consumer Durables","Consumer Durables"
"AMBUJACEM","NSE","Construction Materials","Construction Materials"
"ANANDRATHI","NSE","Financial Services","Financial Services"
"ANANTRAJ","NSE","Realty","Realty"
"ANGELONE","NSE","Financial Services","Financial Services"
"ANTHEM","NSE","Healthcare","Healthcare"
"ANURAS","NSE","Chemicals","Chemicals"
"APARINDS","NSE","Capital Goods","Capital Goods"
"APOLLOHOSP","NSE","Healthcare","Healthcare"
"APOLLOTYRE","NSE","Automobile and Auto Components","Automobile and Auto Components"
"APTUS","NSE","Financial Services","Financial Services"
"ASAHIINDIA","NSE","Automobile and Auto Components","Automobile and Auto Components"
"ASHOKLEY","NSE","Capital Goods","Capital Goods"
"ASIANPAINT","NSE","Consumer Durables","Consumer Durables"
"ASTERDM","NSE","Healthcare","Healthcare"
"ASTRAL","NSE","Capital Goods","Capital Goods"
"ATHERENERG","NSE","Automobile and Auto Components","Automobile and Auto Components"
"ATUL","NSE","Chemicals","Chemicals"
"AUROPHARMA","NSE","Healthcare","Healthcare"
"AIIL","NSE","Financial Services","Financial Services"
"DMART","NSE","Consumer Services","Consumer Services"
"AXISBANK","NSE","Financial Services","Financial Services"
"BEML","NSE","Capital Goods","Capital Goods"
"BLS","NSE","Consumer Services","Consumer Services"
"BSE","NSE","Financial Services","Financial Services"
"BAJAJ-AUTO","NSE","Automobile and Auto Components","Automobile and Auto Components"
"BAJFINANCE","NSE","Financial Services","Financial Services"
"BAJAJFINSV","NSE","Financial Services","Financial Services"
"BAJAJHLDNG","NSE","Financial Services","Financial Services"
"BAJAJHFL","NSE","Financial Services","Financial Services"
"BALKRISIND","NSE","Automobile and Auto Components","Automobile and Auto Components"
"BALRAMCHIN","NSE","Fast Moving Consumer Goods","Fast Moving Consumer Goods"
"BANDHANBNK","NSE","Financial Services","Financial Services"
"BANKBARODA","NSE","Financial Services","Financial Services"
"BANKINDIA","NSE","Financial Services","Financial Services"
"MAHABANK","NSE","Financial Services","Financial Services"
"BATAINDIA","NSE","Consumer Durables","Consumer Durables"
"BAYERCROP","NSE","Chemicals","Chemicals"
"BELRISE","NSE","Automobile and Auto Components","Automobile and Auto Components"
"BERGEPAINT","NSE","Consumer Durables","Consumer Durables"
"BDL","NSE","Capital Goods","Capital Goods"
"BEL","NSE","Capital Goods","Capital Goods"
"BHARATFORG","NSE","Automobile and Auto Components","Automobile and Auto Components"
"BHEL","NSE","Capital Goods","Capital Goods"
"BPCL","NSE","Oil Gas & Consumable Fuels","Oil Gas & Consumable Fuels"
"BHARTIARTL","NSE","Telecommunication","Telecommunication"
"BHARTIHEXA","NSE","Telecommunication","Telecommunication"
"BIKAJI","NSE","Fast Moving Consumer Goods","Fast Moving Consumer Goods"
"GROWW","NSE","Financial Services","Financial Services"
"BIOCON","NSE","Healthcare","Healthcare"
"BSOFT","NSE","Information Technology","Information Technology"
"BLUEDART","NSE","Services","Services"
"BLUEJET","NSE","Healthcare","Healthcare"
"BLUESTARCO","NSE","Consumer Durables","Consumer Durables"
"BBTC","NSE","Fast Moving Consumer Goods","Fast Moving Consumer Goods"
"BOSCHLTD","NSE","Automobile and Auto Components","Automobile and Auto Components"
"FIRSTCRY","NSE","Consumer Services","Consumer Services"
"BRIGADE","NSE","Realty","Realty"
"BRITANNIA","NSE","Fast Moving Consumer Goods","Fast Moving Consumer Goods"
"MAPMYINDIA","NSE","Information Technology","Information Technology"
"CCL","NSE","Fast Moving Consumer Goods","Fast Moving Consumer Goods"
"CESC","NSE","Power","Power"
"CGPOWER","NSE","Capital Goods","Capital Goods"
"CRISIL","NSE","Financial Services","Financial Services"
"CANFINHOME","NSE","Financial Services","Financial Services"
"CANBK","NSE","Financial Services","Financial Services"
"CANHLIFE","NSE","Financial Services","Financial Services"
"CAPLIPOINT","NSE","Healthcare","Healthcare"
"CGCL","NSE","Financial Services","Financial Services"
"CARBORUNIV","NSE","Capital Goods","Capital Goods"
"CARTRADE","NSE","Consumer Services","Consumer Services"
"CASTROLIND","NSE","Oil Gas & Consumable Fuels","Oil Gas & Consumable Fuels"
"CEATLTD","NSE","Automobile and Auto Components","Automobile and Auto Components"
"CEMPRO","NSE","Construction","Construction"
"CENTRALBK","NSE","Financial Services","Financial Services"
"CDSL","NSE","Financial Services","Financial Services"
"CHALET","NSE","Consumer Services","Consumer Services"
"CHAMBLFERT","NSE","Chemicals","Chemicals"
"CHENNPETRO","NSE","Oil Gas & Consumable Fuels","Oil Gas & Consumable Fuels"
"CHOICEIN","NSE","Financial Services","Financial Services"
"CHOLAHLDNG","NSE","Financial Services","Financial Services"
"CHOLAFIN","NSE","Financial Services","Financial Services"
"CIPLA","NSE","Healthcare","Healthcare"
"CUB","NSE","Financial Services","Financial Services"
"CLEAN","NSE","Chemicals","Chemicals"
"COALINDIA","NSE","Oil Gas & Consumable Fuels","Oil Gas & Consumable Fuels"
"COCHINSHIP","NSE","Capital Goods","Capital Goods"
"COFORGE","NSE","Information Technology","Information Technology"
"COHANCE","NSE","Healthcare","Healthcare"
"COLPAL","NSE","Fast Moving Consumer Goods","Fast Moving Consumer Goods"
"CAMS","NSE","Financial Services","Financial Services"
"CONCORDBIO","NSE","Healthcare","Healthcare"
"CONCOR","NSE","Services","Services"
"COROMANDEL","NSE","Chemicals","Chemicals"
"CRAFTSMAN","NSE","Automobile and Auto Components","Automobile and Auto Components"
"CREDITACC","NSE","Financial Services","Financial Services"
"CROMPTON","NSE","Consumer Durables","Consumer Durables"
"CUMMINSIND","NSE","Capital Goods","Capital Goods"
"CYIENT","NSE","Information Technology","Information Technology"
"DCMSHRIRAM","NSE","Diversified","Diversified"
"DLF","NSE","Realty","Realty"
"DOMS","NSE","Fast Moving Consumer Goods","Fast Moving Consumer Goods"
"DABUR","NSE","Fast Moving Consumer Goods","Fast Moving Consumer Goods"
"DALBHARAT","NSE","Construction Materials","Construction Materials"
"DATAPATTNS","NSE","Capital Goods","Capital Goods"
"DEEPAKFERT","NSE","Chemicals","Chemicals"
"DEEPAKNTR","NSE","Chemicals","Chemicals"
"DELHIVERY","NSE","Services","Services"
"DEVYANI","NSE","Consumer Services","Consumer Services"
"DIVISLAB","NSE","Healthcare","Healthcare"
"DIXON","NSE","Consumer Durables","Consumer Durables"
"LALPATHLAB","NSE","Healthcare","Healthcare"
"DRREDDY","NSE","Healthcare","Healthcare"
"EIDPARRY","NSE","Fast Moving Consumer Goods","Fast Moving Consumer Goods"
"EIHOTEL","NSE","Consumer Services","Consumer Services"
"EICHERMOT","NSE","Automobile and Auto Components","Automobile and Auto Components"
"ELECON","NSE","Capital Goods","Capital Goods"
"ELGIEQUIP","NSE","Capital Goods","Capital Goods"
"EMAMILTD","NSE","Fast Moving Consumer Goods","Fast Moving Consumer Goods"
"EMCURE","NSE","Healthcare","Healthcare"
"EMMVEE","NSE","Capital Goods","Capital Goods"
"ENDURANCE","NSE","Automobile and Auto Components","Automobile and Auto Components"
"ENGINERSIN","NSE","Construction","Construction"
"ERIS","NSE","Healthcare","Healthcare"
"ESCORTS","NSE","Capital Goods","Capital Goods"
"ETERNAL","NSE","Consumer Services","Consumer Services"
"EXIDEIND","NSE","Automobile and Auto Components","Automobile and Auto Components"
"NYKAA","NSE","Consumer Services","Consumer Services"
"FEDERALBNK","NSE","Financial Services","Financial Services"
"FACT","NSE","Chemicals","Chemicals"
"FINCABLES","NSE","Capital Goods","Capital Goods"
"FSL","NSE","Services","Services"
"FIVESTAR","NSE","Financial Services","Financial Services"
"FORCEMOT","NSE","Automobile and Auto Components","Automobile and Auto Components"
"FORTIS","NSE","Healthcare","Healthcare"
"GAIL","NSE","Oil Gas & Consumable Fuels","Oil Gas & Consumable Fuels"
"GVT&D","NSE","Capital Goods","Capital Goods"
"GMRAIRPORT","NSE","Services","Services"
"GABRIEL","NSE","Automobile and Auto Components","Automobile and Auto Components"
"GALLANTT","NSE","Capital Goods","Capital Goods"
"GRSE","NSE","Capital Goods","Capital Goods"
"GICRE","NSE","Financial Services","Financial Services"
"GILLETTE","NSE","Fast Moving Consumer Goods","Fast Moving Consumer Goods"
"GLAND","NSE","Healthcare","Healthcare"
"GLAXO","NSE","Healthcare","Healthcare"
"GLENMARK","NSE","Healthcare","Healthcare"
"MEDANTA","NSE","Healthcare","Healthcare"
"GODIGIT","NSE","Financial Services","Financial Services"
"GPIL","NSE","Capital Goods","Capital Goods"
"GODFRYPHLP","NSE","Fast Moving Consumer Goods","Fast Moving Consumer Goods"
"GODREJCP","NSE","Fast Moving Consumer Goods","Fast Moving Consumer Goods"
"GODREJIND","NSE","Diversified","Diversified"
"GODREJPROP","NSE","Realty","Realty"
"GRANULES","NSE","Healthcare","Healthcare"
"GRAPHITE","NSE","Capital Goods","Capital Goods"
"GRASIM","NSE","Construction Materials","Construction Materials"
"GRAVITA","NSE","Metals & Mining","Metals & Mining"
"GESHIP","NSE","Services","Services"
"FLUOROCHEM","NSE","Chemicals","Chemicals"
"GMDCLTD","NSE","Metals & Mining","Metals & Mining"
"GSPL","NSE","Oil Gas & Consumable Fuels","Oil Gas & Consumable Fuels"
"HEG","NSE","Capital Goods","Capital Goods"
"HBLENGINE","NSE","Capital Goods","Capital Goods"
"HCLTECH","NSE","Information Technology","Information Technology"
"HDBFS","NSE","Financial Services","Financial Services"
"HDFCAMC","NSE","Financial Services","Financial Services"
"HDFCBANK","NSE","Financial Services","Financial Services"
"HDFCLIFE","NSE","Financial Services","Financial Services"
"HFCL","NSE","Telecommunication","Telecommunication"
"HAVELLS","NSE","Consumer Durables","Consumer Durables"
"HEROMOTOCO","NSE","Automobile and Auto Components","Automobile and Auto Components"
"HEXT","NSE","Information Technology","Information Technology"
"HSCL","NSE","Chemicals","Chemicals"
"HINDALCO","NSE","Metals & Mining","Metals & Mining"
"HAL","NSE","Capital Goods","Capital Goods"
"HINDCOPPER","NSE","Metals & Mining","Metals & Mining"
"HINDPETRO","NSE","Oil Gas & Consumable Fuels","Oil Gas & Consumable Fuels"
"HINDUNILVR","NSE","Fast Moving Consumer Goods","Fast Moving Consumer Goods"
"HINDZINC","NSE","Metals & Mining","Metals & Mining"
"POWERINDIA","NSE","Capital Goods","Capital Goods"
"HOMEFIRST","NSE","Financial Services","Financial Services"
"HONASA","NSE","Fast Moving Consumer Goods","Fast Moving Consumer Goods"
"HONAUT","NSE","Capital Goods","Capital Goods"
"HUDCO","NSE","Financial Services","Financial Services"
"HYUNDAI","NSE","Automobile and Auto Components","Automobile and Auto Components"
"ICICIBANK","NSE","Financial Services","Financial Services"
"ICICIGI","NSE","Financial Services","Financial Services"
"ICICIAMC","NSE","Financial Services","Financial Services"
"ICICIPRULI","NSE","Financial Services","Financial Services"
"IDBI","NSE","Financial Services","Financial Services"
"IDFCFIRSTB","NSE","Financial Services","Financial Services"
"IFCI","NSE","Financial Services","Financial Services"
"IIFL","NSE","Financial Services","Financial Services"
"IRB","NSE","Construction","Construction"
"IRCON","NSE","Construction","Construction"
"ITCHOTELS","NSE","Consumer Services","Consumer Services"
"ITC","NSE","Fast Moving Consumer Goods","Fast Moving Consumer Goods"
"ITI","NSE","Telecommunication","Telecommunication"
"INDGN","NSE","Healthcare","Healthcare"
"INDIACEM","NSE","Construction Materials","Construction Materials"
"INDIAMART","NSE","Consumer Services","Consumer Services"
"INDIANB","NSE","Financial Services","Financial Services"
"IEX","NSE","Financial Services","Financial Services"
"INDHOTEL","NSE","Consumer Services","Consumer Services"
"IOC","NSE","Oil Gas & Consumable Fuels","Oil Gas & Consumable Fuels"
"IOB","NSE","Financial Services","Financial Services"
"IRCTC","NSE","Consumer Services","Consumer Services"
"IRFC","NSE","Financial Services","Financial Services"
"IREDA","NSE","Financial Services","Financial Services"
"IGL","NSE","Oil Gas & Consumable Fuels","Oil Gas & Consumable Fuels"
"INDUSTOWER","NSE","Telecommunication","Telecommunication"
"INDUSINDBK","NSE","Financial Services","Financial Services"
"NAUKRI","NSE","Consumer Services","Consumer Services"
"INFY","NSE","Information Technology","Information Technology"
"INOXWIND","NSE","Capital Goods","Capital Goods"
"INTELLECT","NSE","Information Technology","Information Technology"
"INDIGO","NSE","Services","Services"
"IGIL","NSE","Services","Services"
"IKS","NSE","Information Technology","Information Technology"
"IPCALAB","NSE","Healthcare","Healthcare"
"JBCHEPHARM","NSE","Healthcare","Healthcare"
"JKCEMENT","NSE","Construction Materials","Construction Materials"
"JBMA","NSE","Automobile and Auto Components","Automobile and Auto Components"
"JKTYRE","NSE","Automobile and Auto Components","Automobile and Auto Components"
"JMFINANCIL","NSE","Financial Services","Financial Services"
"JSWCEMENT","NSE","Construction Materials","Construction Materials"
"JSWENERGY","NSE","Power","Power"
"JSWINFRA","NSE","Services","Services"
"JSWSTEEL","NSE","Metals & Mining","Metals & Mining"
"JAINREC","NSE","Metals & Mining","Metals & Mining"
"JPPOWER","NSE","Power","Power"
"J&KBANK","NSE","Financial Services","Financial Services"
"JINDALSAW","NSE","Capital Goods","Capital Goods"
"JSL","NSE","Metals & Mining","Metals & Mining"
"JINDALSTEL","NSE","Metals & Mining","Metals & Mining"
"JIOFIN","NSE","Financial Services","Financial Services"
"JUBLFOOD","NSE","Consumer Services","Consumer Services"
"JUBLINGREA","NSE","Chemicals","Chemicals"
"JUBLPHARMA","NSE","Healthcare","Healthcare"
"JWL","NSE","Capital Goods","Capital Goods"
"JYOTICNC","NSE","Capital Goods","Capital Goods"
"KPRMILL","NSE","Textiles","Textiles"
"KEI","NSE","Capital Goods","Capital Goods"
"KPITTECH","NSE","Information Technology","Information Technology"
"KAJARIACER","NSE","Consumer Durables","Consumer Durables"
"KPIL","NSE","Construction","Construction"
"KALYANKJIL","NSE","Consumer Durables","Consumer Durables"
"KARURVYSYA","NSE","Financial Services","Financial Services"
"KAYNES","NSE","Capital Goods","Capital Goods"
"KEC","NSE","Construction","Construction"
"KFINTECH","NSE","Financial Services","Financial Services"
"KIRLOSENG","NSE","Capital Goods","Capital Goods"
"KOTAKBANK","NSE","Financial Services","Financial Services"
"KIMS","NSE","Healthcare","Healthcare"
"LTF","NSE","Financial Services","Financial Services"
"LTTS","NSE","Information Technology","Information Technology"
"LGEINDIA","NSE","Consumer Durables","Consumer Durables"
"LICHSGFIN","NSE","Financial Services","Financial Services"
"LTFOODS","NSE","Fast Moving Consumer Goods","Fast Moving Consumer Goods"
"LTM","NSE","Information Technology","Information Technology"
"LT","NSE","Construction","Construction"
"LATENTVIEW","NSE","Information Technology","Information Technology"
"LAURUSLABS","NSE","Healthcare","Healthcare"
"THELEELA","NSE","Consumer Services","Consumer Services"
